Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
2/24/2003,DRREDDY,872.1,875,884.9,873.65,878,876.7,877.39,41834
2/25/2003,DRREDDY,876.7,882,885,874,876,875.2,877.53,38424
2/26/2003,DRREDDY,875.2,877,880.95,864,866.5,866.95,868.57,58746
2/27/2003,DRREDDY,866.95,866.1,872.95,853.2,858.9,856.55,858.43,162596
2/28/2003,DRREDDY,856.55,870,889,860.1,878,876.35,873.72,156383
3/3/2003,DRREDDY,876.35,883,890,880,885,887.2,887.23,100651
3/4/2003,DRREDDY,887.2,881.1,889,876,888.7,887.25,884.18,37478
3/5/2003,DRREDDY,887.25,888.65,895.9,874,892.55,893.5,887.97,79193
3/6/2003,DRREDDY,893.5,893,900,891.5,896,897.95,897.93,59467
3/7/2003,DRREDDY,897.95,893,893,880.25,888.5,889.6,890.45,67489
3/10/2003,DRREDDY,889.6,885,894.9,884,890,889.4,888.42,51010
3/11/2003,DRREDDY,889.4,890,892.95,867.3,883,883.05,878.41,49790
3/12/2003,DRREDDY,883.05,874.9,889.3,874.9,882,881.45,880.96,35625
3/13/2003,DRREDDY,881.45,878,879.95,870.55,879.75,878.1,874.96,28956
3/17/2003,DRREDDY,878.1,871,878,860.1,874.5,873.75,870.02,40499
3/19/2003,DRREDDY,873.75,880,964,860.05,870.05,867.9,865.8,123340
3/20/2003,DRREDDY,867.9,871.25,891,871.25,885,883.15,883.89,98662
3/21/2003,DRREDDY,883.15,887,914,885.5,900.6,902.4,902.92,163527
3/22/2003,DRREDDY,902.4,906.5,914.5,906.5,911,910.2,910.23,18333
3/24/2003,DRREDDY,910.2,909,910,895,902,901.75,902.66,38574
3/25/2003,DRREDDY,901.75,900,990,882.1,902.5,900.35,900.22,81508
3/26/2003,DRREDDY,900.35,908.7,908.7,891,900,900.1,900.26,86194
3/27/2003,DRREDDY,900.1,899,902.7,888.05,902,898.65,899.18,112859
3/28/2003,DRREDDY,898.65,900.3,902,895,900,899.35,899.52,99560
3/31/2003,DRREDDY,899.35,903.25,940.8,903.25,917,916.3,916.98,138135
4/1/2003,DRREDDY,916.3,905,918,904.3,914,914.95,913.19,81130
4/2/2003,DRREDDY,914.95,910,916.9,908.5,913.05,914.75,913.51,36271
4/3/2003,DRREDDY,914.75,918,924.95,915,920,918.9,919.76,36444
4/4/2003,DRREDDY,918.9,917.5,925,917.5,925,923.15,921.66,42336
4/7/2003,DRREDDY,923.15,916.25,930,916.25,925.5,922.9,924.39,24622
4/8/2003,DRREDDY,922.9,921,927.65,907.1,916.25,917.65,917.52,72872
4/9/2003,DRREDDY,917.65,918.1,928,907.3,926.15,920.15,914.98,109491
4/10/2003,DRREDDY,920.15,925,938.5,920,933,932.25,930.87,135129
4/11/2003,DRREDDY,932.25,934,944,845,860.05,864.15,900.82,269166
4/15/2003,DRREDDY,864.15,899,932,869,932,910.5,893.39,222243
4/16/2003,DRREDDY,910.5,915,923,900,906,908.55,913.93,126267
4/17/2003,DRREDDY,908.55,900,922,898.05,904.5,903.7,904.77,98064
4/21/2003,DRREDDY,903.7,904.8,904.8,899,900,900.4,900.99,73386
4/22/2003,DRREDDY,900.4,901,908.8,900.05,902.7,903.15,905,88586
4/23/2003,DRREDDY,903.15,905,906.05,900,900.85,900.9,903.31,68693
4/24/2003,DRREDDY,900.9,900,905.8,900,904,903.4,903.4,72825
4/25/2003,DRREDDY,903.4,904,908.75,901.35,905,904.65,904.97,60262
4/28/2003,DRREDDY,904.65,900,900,855,872,872.05,871.6,215117
4/29/2003,DRREDDY,872.05,870,870,847.1,864.5,863.15,859.86,177209
4/30/2003,DRREDDY,863.15,867,877,860.05,874.1,872.7,869,161863
5/2/2003,DRREDDY,872.7,874,898,865,883,884.55,877.79,124545
5/5/2003,DRREDDY,884.55,870,878.65,865.25,877,876.25,873.92,92744
5/6/2003,DRREDDY,876.25,878,879.95,867.05,875.1,874.4,874.83,130515
5/7/2003,DRREDDY,874.4,875.1,880,865,879.9,875.5,870.32,82711
5/8/2003,DRREDDY,875.5,877,877,840.8,850,848.1,850.22,272711
5/9/2003,DRREDDY,848.1,850,850,826.35,838.6,836.1,834.74,118042
5/12/2003,DRREDDY,836.1,840,847,817,843.05,841,834.94,101517
5/13/2003,DRREDDY,841,847.8,859,842,854,851.9,850.66,104578
